County,Allocation
Baringo,5216823957
Bomet,5428473108
Bungoma,8870883103
Busia,6279682705
Keiyo-Marakwet,3861931534
Embu,4666164240
Garissa,7046599071
Homa Bay,6545171052
Isiolo,3556849145
Kajiado,5231598422
Kakamega,10675536074
Kericho,5245788652
Kiambu,9057178400
Kilifi,8718739315
Kirinyaga,4110570627
Kisii,8615014591
Kisumu,6991710087
Kitui,8436594415
Kwale,6019918339
Laikipia,4081024712
Lamu,2521242318
Machakos,8117560933
Makueni,6865922921
Mandera,10202199694
Marsabit,5950843692
Meru,9473803410
Migori,6939235598
Mombasa,6516782616
Murang'a,6183321114
Nairobi,15337765135
Nakuru,9834875606
Nandi,5491849769
Narok,6158483294
Nyamira,4834267842
Nyandarua,4972537724
Nyeri,5576261514
Samburu,4111578496
Siaya,5827436255
Taita Taveta,3878389095
Tana River,4692620060
Tharaka,3688974425
Trans Nzoia,5874905698
Turkana,11897147665
Uasin Gishu,6030878991
Vihiga,4500627917
Wajir,8282772503
West Pokot,5021222862